Results for well: PROD_Seg.out in the reservoir: PROD_Seg.out

t	BHP	q(Gas)	q(Oil)
days	psi	Mscf/d	stb/d
0         	0         	-         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	X[0]	X[1]	X[2]	X[3]	
Seg 29	688.126	160	6.98243	1.35012	5.63231	0	0.193345	0.806655	0		0.877049	0.0254217	0.0951765	0.00235241	0.156897	0.00901821	0.302403	0.531682	
Seg 30	696.19	160	6.91823	1.27918	5.63905	0	0.184886	0.815114	0		0.877757	0.0253185	0.0945678	0.00235686	0.158712	0.00906683	0.301905	0.530315	


0.1814    	300       	160       	47.4403   	4545.36   	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	X[0]	X[1]	X[2]	X[3]	
Seg 0	300	160	14.5664	9.47171	5.09471	0	0.650243	0.349757	0		0.802043	0.0309339	0.164202	0.0028211	0.0654685	0.00532223	0.318111	0.611098	
Seg 1	318.717	160	13.6789	8.56376	5.11517	0	0.599341	0.400659	0		0.809329	0.0307059	0.157227	0.00273781	0.0700394	0.00558384	0.318319	0.606058	
Seg 2	336.664	160	12.9329	7.79901	5.13384	0	0.57506	0.42494	0		0.815656	0.0304705	0.151204	0.00266937	0.0744109	0.00582426	0.318314	0.601451	
Seg 3	353.949	160	12.2951	7.14397	5.1511	0	0.552384	0.447616	0		0.821219	0.0302321	0.145937	0.00261245	0.0786093	0.00604657	0.318151	0.597193	
Seg 4	370.667	160	11.7419	6.5747	5.16721	0	0.530758	0.469242	0		0.826164	0.0299934	0.141278	0.00256463	0.0826585	0.00625335	0.31787	0.593218	
Seg 5	386.895	160	11.2564	6.07398	5.1824	0	0.510048	0.489952	0		0.8306	0.0297561	0.137119	0.00252416	0.0865774	0.00644664	0.317498	0.589478	
Seg 6	402.697	160	10.8258	5.62903	5.1968	0	0.490151	0.509849	0		0.834613	0.0295212	0.133376	0.00248975	0.0903818	0.0066281	0.317054	0.585936	
Seg 7	418.123	160	10.4407	5.23017	5.21055	0	0.470983	0.529017	0		0.838267	0.0292896	0.129983	0.00246039	0.0940844	0.00679909	0.316554	0.582563	
Seg 8	433.216	160	10.0937	4.86992	5.22374	0	0.452471	0.547529	0		0.841615	0.0290616	0.126888	0.00243531	0.097696	0.00696071	0.316008	0.579335	
Seg 9	448.013	160	9.77884	4.54239	5.23645	0	0.434557	0.565443	0		0.844697	0.0288375	0.124052	0.00241389	0.101226	0.00711393	0.315425	0.576235	
Seg 10	462.544	160	9.49162	4.24287	5.24875	0	0.417187	0.582813	0		0.847548	0.0286175	0.121439	0.00239566	0.104681	0.00725955	0.314812	0.573247	
Seg 11	476.835	160	9.22823	3.96755	5.26068	0	0.400319	0.599681	0		0.850196	0.0284015	0.119023	0.00238021	0.108069	0.00739825	0.314175	0.570358	
Seg 12	490.909	160	8.98559	3.7133	5.2723	0	0.383912	0.616088	0		0.852664	0.0281898	0.116779	0.00236721	0.111396	0.00753062	0.313516	0.567558	
Seg 13	504.786	160	8.76117	3.47753	5.28364	0	0.367933	0.632067	0		0.854972	0.0279821	0.114689	0.00235639	0.114665	0.00765718	0.312841	0.564837	
Seg 14	518.484	160	8.55282	3.25809	5.29472	0	0.352352	0.647648	0		0.857137	0.0277784	0.112737	0.00234753	0.117883	0.00777839	0.312151	0.562187	
Seg 15	532.018	160	8.35875	3.05316	5.30559	0	0.337144	0.662856	0		0.859173	0.0275788	0.110907	0.00234043	0.121052	0.00789465	0.31145	0.559604	
Seg 16	545.402	160	8.17743	2.86117	5.31626	0	0.322284	0.677716	0		0.861093	0.0273829	0.109189	0.00233494	0.124177	0.0080063	0.310738	0.557079	
Seg 17	558.647	160	8.00756	2.6808	5.32676	0	0.307752	0.692248	0		0.862907	0.0271909	0.107572	0.0023309	0.127259	0.00811366	0.310018	0.554609	
Seg 18	571.766	160	7.848	2.5109	5.3371	0	0.293528	0.706472	0		0.864623	0.0270025	0.106046	0.00232821	0.130303	0.00821702	0.309291	0.552189	
Seg 19	584.767	160	7.69779	2.3505	5.34729	0	0.279596	0.720404	0		0.866252	0.0268177	0.104604	0.00232676	0.133311	0.00831662	0.308557	0.549815	
Seg 20	597.66	160	7.55607	2.1987	5.35736	0	0.26594	0.73406	0		0.867799	0.0266364	0.103238	0.00232647	0.136284	0.0084127	0.307819	0.547484	
Seg 21	606.045	160	7.46751	2.10363	5.36389	0	0.281684	0.718316	0		0.868771	0.0265195	0.102382	0.00232685	0.138214	0.0084738	0.307334	0.545979	
Seg 22	614.336	160	7.38264	2.01232	5.37032	0	0.272554	0.727446	0		0.869707	0.0264048	0.101561	0.00232767	0.140117	0.00853314	0.30685	0.5445	
Seg 23	622.536	160	7.3012	1.92453	5.37667	0	0.263571	0.736429	0		0.870608	0.0262922	0.100771	0.0023289	0.141996	0.00859082	0.306367	0.543046	
Seg 24	630.647	160	7.22297	1.84003	5.38294	0	0.254728	0.745272	0		0.871477	0.0261816	0.100011	0.00233051	0.143851	0.00864691	0.305887	0.541615	
Seg 25	638.674	160	7.14777	1.75862	5.38914	0	0.24602	0.75398	0		0.872315	0.0260729	0.0992796	0.00233248	0.145684	0.00870147	0.305408	0.540206	
Seg 26	646.621	160	7.07539	1.68012	5.39527	0	0.237442	0.762558	0		0.873125	0.0259662	0.0985745	0.00233479	0.147494	0.00875459	0.304932	0.538819	
Seg 27	654.488	160	7.00568	1.60436	5.40132	0	0.22899	0.77101	0		0.873907	0.0258613	0.0978945	0.00233743	0.149284	0.00880632	0.304457	0.537453	
Seg 28	662.281	160	6.93848	1.53116	5.40732	0	0.220659	0.779341	0		0.874663	0.0257582	0.0972382	0.00234037	0.151052	0.00885673	0.303985	0.536106	
Seg 29	670.001	160	6.87365	1.4604	5.41325	0	0.212446	0.787554	0		0.875395	0.0256568	0.0966043	0.0023436	0.152801	0.00890586	0.303515	0.534778	
Seg 30	677.65	160	6.81105	1.39193	5.41912	0	0.204347	0.795653	0		0.876104	0.0255571	0.0959918	0.00234711	0.154531	0.00895377	0.303047	0.533468	


0.32666   	300       	160       	46.3112   	4436.3    	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	X[0]	X[1]	X[2]	X[3]	
Seg 0	300	160	14.2131	9.24195	4.97115	0	0.650242	0.349758	0		0.802043	0.0309339	0.164202	0.0028211	0.0654685	0.00532222	0.318111	0.611098	
Seg 1	317.994	160	13.379	8.38858	4.99043	0	0.599664	0.400336	0		0.809062	0.0307149	0.157482	0.00274079	0.0698632	0.00557393	0.318315	0.606248	
Seg 2	335.281	160	12.6726	7.66461	5.00803	0	0.576209	0.423791	0		0.81519	0.030489	0.151646	0.00267428	0.0740748	0.00580608	0.31832	0.601799	
Seg 3	351.956	160	12.0656	7.04121	5.02434	0	0.554291	0.445709	0		0.820603	0.0302599	0.146519	0.0026186	0.0781264	0.00602139	0.318177	0.597675	
Seg 4	368.106	160	11.5367	6.49708	5.0396	0	0.533353	0.466647	0		0.825432	0.0300303	0.141966	0.00257153	0.0820392	0.00622218	0.31792	0.593818	
Seg 5	383.8	160	11.0707	6.01671	5.054	0	0.513274	0.486726	0		0.82978	0.0298016	0.137887	0.00253146	0.0858308	0.00641031	0.317576	0.590183	
Seg 6	399.095	160	10.6562	5.58851	5.06767	0	0.493959	0.506041	0		0.833723	0.029575	0.134204	0.00249719	0.0895154	0.00658728	0.317162	0.586736	
Seg 7	414.038	160	10.2844	5.20364	5.08074	0	0.47533	0.52467	0		0.837323	0.0293511	0.130858	0.00246778	0.0931046	0.00675435	0.316692	0.583449	
Seg 8	428.67	160	9.9485	4.85521	5.09329	0	0.457321	0.542679	0		0.840628	0.0291303	0.127799	0.00244251	0.0966084	0.00691255	0.316178	0.580301	
Seg 9	443.022	160	9.64316	4.53778	5.10538	0	0.439877	0.560123	0		0.843677	0.0289131	0.124989	0.00242079	0.100035	0.00706276	0.315627	0.577275	
Seg 10	457.124	160	9.36405	4.24696	5.11709	0	0.422949	0.577051	0		0.846503	0.0286995	0.122395	0.00240216	0.103392	0.00720572	0.315045	0.574357	
Seg 11	471.001	160	9.10767	3.97921	5.12846	0	0.406496	0.593504	0		0.849131	0.0284897	0.119993	0.00238624	0.106686	0.00734208	0.314439	0.571533	
Seg 12	484.672	160	8.87112	3.7316	5.13953	0	0.390482	0.609518	0		0.851585	0.0282836	0.117758	0.00237271	0.109921	0.00747238	0.313812	0.568795	
Seg 13	498.158	160	8.65202	3.50169	5.15033	0	0.374876	0.625124	0		0.853883	0.0280812	0.115674	0.00236132	0.113103	0.00759712	0.313167	0.566133	
Seg 14	511.474	160	8.44835	3.28745	5.1609	0	0.359649	0.640351	0		0.856041	0.0278826	0.113724	0.00235185	0.116235	0.00771672	0.312507	0.563541	
Seg 15	524.635	160	8.25842	3.08716	5.17126	0	0.344777	0.655223	0		0.858073	0.0276876	0.111895	0.00234411	0.119322	0.00783155	0.311835	0.561011	
Seg 16	537.653	160	8.08077	2.89934	5.18143	0	0.330238	0.669762	0		0.859991	0.0274962	0.110175	0.00233794	0.122366	0.00794195	0.311153	0.558539	
Seg 17	550.541	160	7.91417	2.72273	5.19144	0	0.316011	0.683989	0		0.861805	0.0273084	0.108554	0.00233321	0.125371	0.00804822	0.310461	0.55612	
Seg 18	563.309	160	7.75754	2.55624	5.2013	0	0.30208	0.69792	0		0.863524	0.0271239	0.107023	0.00232981	0.128339	0.00815062	0.309762	0.553748	
Seg 19	575.965	160	7.60995	2.39893	5.21102	0	0.288427	0.711573	0		0.865156	0.0269428	0.105574	0.00232762	0.131273	0.00824939	0.309056	0.551422	
Seg 20	588.518	160	7.47059	2.24997	5.22062	0	0.275039	0.724961	0		0.866707	0.0267649	0.104201	0.00232656	0.134174	0.00834475	0.308344	0.549137	
Seg 21	596.61	160	7.38425	2.15746	5.22679	0	0.292149	0.707851	0		0.867674	0.0266513	0.103348	0.00232645	0.13604	0.00840488	0.30788	0.547675	
Seg 22	604.611	160	7.30142	2.06855	5.23287	0	0.283287	0.716713	0		0.868605	0.0265396	0.102528	0.00232675	0.137881	0.00846333	0.307418	0.546238	
Seg 23	612.525	160	7.22189	1.98302	5.23887	0	0.274564	0.725436	0		0.869503	0.02643	0.10174	0.00232746	0.139699	0.00852017	0.306956	0.544825	
Seg 24	620.356	160	7.14545	1.90064	5.2448	0	0.265974	0.734026	0		0.870369	0.0263222	0.10098	0.00232853	0.141494	0.00857549	0.306497	0.543434	
Seg 25	628.106	160	7.0719	1.82124	5.25066	0	0.257512	0.742488	0		0.871205	0.0262163	0.100248	0.00232996	0.143267	0.00862934	0.306038	0.542065	
Seg 26	635.778	160	7.00108	1.74462	5.25646	0	0.249174	0.750826	0		0.872014	0.0261122	0.0995425	0.00233172	0.14502	0.0086818	0.305582	0.540716	
Seg 27	643.376	160	6.93282	1.67064	5.26218	0	0.240956	0.759044	0		0.872795	0.0260099	0.0988614	0.0023338	0.146752	0.00873292	0.305127	0.539387	
Seg 28	650.902	160	6.86698	1.59913	5.26785	0	0.232854	0.767146	0		0.873551	0.0259092	0.0982035	0.00233618	0.148465	0.00878275	0.304675	0.538077	
Seg 29	658.358	160	6.80342	1.52997	5.27346	0	0.224864	0.775136	0		0.874283	0.0258102	0.0975676	0.00233884	0.150159	0.00883136	0.304224	0.536785	
Seg 30	665.747	160	6.74202	1.46301	5.27901	0	0.216982	0.783018	0		0.874993	0.0257127	0.0969527	0.00234178	0.151835	0.0088788	0.303775	0.535511	


0.595856  	300       	160       	45.9753   	4404.26   	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	X[0]	X[1]	X[2]	X[3]	
Seg 0	300	160	14.1129	9.17696	4.93595	0	0.650253	0.349747	0		0.802043	0.0309337	0.164202	0.0028211	0.0654686	0.0053222	0.318111	0.611099	
Seg 1	317.79	160	13.2933	8.33838	4.9549	0	0.599751	0.400249	0		0.808987	0.0307174	0.157554	0.00274163	0.0698135	0.00557112	0.318314	0.606302	
Seg 2	334.892	160	12.598	7.62583	4.9722	0	0.576528	0.423472	0		0.815058	0.0304941	0.151772	0.00267568	0.0739799	0.00580093	0.318322	0.601897	
Seg 3	351.395	160	11.9996	7.01134	4.98824	0	0.554826	0.445174	0		0.820427	0.0302678	0.146684	0.00262035	0.0779898	0.00601425	0.318184	0.597812	
Seg 4	367.384	160	11.4776	6.47432	5.00326	0	0.534083	0.465917	0		0.825224	0.0300407	0.142162	0.00257351	0.0818641	0.00621333	0.317934	0.593989	
Seg 5	382.926	160	11.0172	5.99972	5.01744	0	0.514183	0.485817	0		0.829546	0.0298144	0.138106	0.00253356	0.0856196	0.00639998	0.317597	0.590383	
Seg 6	398.078	160	10.6072	5.57629	5.03091	0	0.495033	0.504967	0		0.833469	0.0295901	0.134441	0.00249934	0.0892702	0.00657567	0.317192	0.586963	
Seg 7	412.884	160	10.2392	5.19541	5.04379	0	0.476557	0.523443	0		0.837053	0.0293684	0.131108	0.00246993	0.0928273	0.00674162	0.316731	0.5837	
Seg 8	427.385	160	9.90651	4.85035	5.05616	0	0.458691	0.541309	0		0.840346	0.0291498	0.12806	0.0024446	0.0963007	0.00689884	0.316225	0.580575	
Seg 9	441.611	160	9.60389	4.53581	5.06808	0	0.441381	0.558619	0		0.843385	0.0289345	0.125257	0.0024228	0.0996984	0.00704818	0.315683	0.577571	
Seg 10	455.592	160	9.32711	4.24749	5.07963	0	0.424578	0.575422	0		0.846203	0.0287227	0.12267	0.00240406	0.103028	0.00719038	0.31511	0.574672	
Seg 11	469.35	160	9.07274	3.98191	5.09084	0	0.408244	0.591756	0		0.848826	0.0285146	0.120271	0.00238801	0.106294	0.00732606	0.314513	0.571867	
Seg 12	482.907	160	8.83795	3.7362	5.10175	0	0.392342	0.607658	0		0.851276	0.0283101	0.11804	0.00237435	0.109504	0.00745577	0.313894	0.569146	
Seg 13	496.282	160	8.62039	3.50798	5.11241	0	0.376842	0.623158	0		0.85357	0.0281093	0.115957	0.0023628	0.112661	0.00757998	0.313258	0.566501	
Seg 14	509.489	160	8.41807	3.29524	5.12284	0	0.361716	0.638284	0		0.855726	0.0279121	0.114008	0.00235316	0.115769	0.00769911	0.312607	0.563925	
Seg 15	522.544	160	8.22934	3.09628	5.13306	0	0.34694	0.65306	0		0.857757	0.0277185	0.112179	0.00234524	0.118832	0.00781353	0.311943	0.561411	
Seg 16	535.46	160	8.05275	2.90966	5.14309	0	0.332492	0.667508	0		0.859674	0.0275284	0.110459	0.00233888	0.121854	0.00792356	0.311269	0.558954	
Seg 17	548.246	160	7.8871	2.73414	5.15296	0	0.318352	0.681648	0		0.861488	0.0273417	0.108836	0.00233396	0.124837	0.00802951	0.310585	0.556549	
Seg 18	560.914	160	7.73132	2.56863	5.16269	0	0.304504	0.695496	0		0.863207	0.0271584	0.107304	0.00233035	0.127783	0.00813162	0.309894	0.554191	
Seg 19	573.472	160	7.5845	2.41222	5.17228	0	0.290932	0.709068	0		0.86484	0.0269783	0.105854	0.00232796	0.130696	0.00823015	0.309196	0.551878	
Seg 20	585.929	160	7.44583	2.26407	5.18175	0	0.27762	0.72238	0		0.866393	0.0268015	0.104479	0.00232669	0.133577	0.0083253	0.308492	0.549606	
Seg 21	593.937	160	7.36012	2.1723	5.18782	0	0.295123	0.704877	0		0.867358	0.0266887	0.103627	0.00232644	0.135424	0.00838514	0.308034	0.548157	
Seg 22	601.857	160	7.2779	2.08409	5.19381	0	0.286338	0.713662	0		0.868288	0.026578	0.102808	0.0023266	0.137248	0.00844333	0.307577	0.546732	
Seg 23	609.69	160	7.19892	1.9992	5.19972	0	0.277688	0.722312	0		0.869184	0.0264692	0.10202	0.00232716	0.139048	0.00849992	0.307122	0.54533	
Seg 24	617.441	160	7.123	1.91744	5.20556	0	0.26917	0.73083	0		0.870049	0.0263622	0.10126	0.00232809	0.140826	0.00855501	0.306668	0.543951	
Seg 25	625.112	160	7.04994	1.83861	5.21132	0	0.260778	0.739222	0		0.870885	0.0262571	0.100529	0.00232937	0.142583	0.00860865	0.306216	0.542593	
Seg 26	632.707	160	6.97957	1.76254	5.21702	0	0.252509	0.747491	0		0.871692	0.0261538	0.0998228	0.00233098	0.144319	0.00866091	0.305765	0.541255	
Seg 27	640.228	160	6.91173	1.68907	5.22266	0	0.244358	0.755642	0		0.872474	0.0260522	0.0991414	0.0023329	0.146035	0.00871184	0.305316	0.539937	
Seg 28	647.678	160	6.84629	1.61805	5.22824	0	0.236321	0.763679	0		0.87323	0.0259522	0.0984831	0.00233512	0.147732	0.00876151	0.304869	0.538637	
